tweet_id|text|date_id
61|de los  casos   importados a  venezuela   vienen de  colombia   con entrada por táchira y  por zulia   procedentes de perú  con entrada por el estado táchira y  desde panamá  con entrada por la guaira    https   t co |308
62|rt    coronavirus en  latinoamerica miércoles  diciembre     hora i canarias    casos en  chile perú bolivia el|308
63|rt  xhespanol  casos de   en al y el caribe a las   gmt del  de diciembre  jhu región     brasil     argentina |308
64|freddy ñáñez reportó  anoche     nuevos contagios de   en venezuela  para un total de    casos   comunitarios  en  de  estados  zulia reportó  casos  seguido de vargas con  y dc   importados  procedentes de colombia  perú y panamá https   t co |308
65|titulares de miércoles  de diciembre en noticias   alamanecer por    con  eileencardet    karencintrontv  claudiaf onair y   karuskamatos  cdc    vacunacion  fpl  luismanueloteroalcántara  movimientosanisidro  cuba  colombia  venezuela  miami https   t co |308
66|rt  alejaporrasc  la  ssaludboyaca da a conocer el informe del  de diciembre  frente a la ocupación hospitalaria y los casos en uci de  b|308
67|a diferencia de ee uu y europa  el  en a  latina se redujo en algo este mes  con comportamientos diversos  uno de crecimiento moderado en los últimos meses  colombia y méxico   otro de disminución del contagio  de manera significativa  argentina  chile y perú   https   t co |308
68|📺 envivo   vacuna contra el   en colombia será gratuita tras aprobación de proyecto en el congreso que fija reglas para la adquisición     🎙️ informe de  cynthiapinedah     youtubelive ⭕️ https   t co mqqdhwrasr   canales  y  hd de claro   política https   t co |308
69|mientras en europa y en estados unidos aprueban el uso de la vacuna contra el   en colombia qué crees que ocurrirá     el invima pondrá todos los problemas y demoras posibles   se empezarà a vender  pirateada    nacerà el  cartel de la vacuna    todas las anteriores|308
70|  la gratuidad de la vacuna será una ley en  colombia  el proyecto de ley contempla que toda la población colombiana pueda acceder a la vacuna sin ningún costo  https   t co vxmaicmarg|308
71|abro hilo   poblacionesfrontera   de  poblaciones cerca de la frontera con 🇧🇷🇻🇪🇪🇨🇵🇪🇵🇦 tienen reportado casos positivos 🦠 de    fuente  https   t co     ⬇️ https   t co |308
72|todos los días reportan más de   personas muertas por  en colombia no conocidas y mientras las figuras públicas de este país informan de su contagio y a los  días estan orondos como si nada |308
73|rt  aurencolombia  auren informa  convenio entre la república de colombia y el reino unido de gran bretaña e irlanda del norte para evitar|308
74|📺 envivo    debemos estar preparados para cuando la vacuna llegue a  colombia   representante a la cámara   ricardoferro   sobre el antídoto contra el      ⭕️ https   t co mqqdhwrasr   canales  y  hd de claro  https   t co outqqimnll|308
75|📡 sigue en vivo todo lo relacionado con el   en colombia 🇨🇴  https   t co |308
76|rt  as tikitakasco  📡 sigue en vivo todo lo relacionado con el   en colombia 🇨🇴  https   t co |308
77|   reinounido según las autoridades sanitarias del país europeo  la vacuna de  pfizer podría empezar a inyectarse desde la próxima semana 🙏 https   t co zprbalelyz|308
78|rt  cjportillaj   ledoleon    fruizo  juanlozano r    anyarato  jc parrard  luisluperdomo    cumbieropanama  eu|308
79|miércoles  de diciembre de    boletín de noticias por rarv  👇 https   t co    quédateencasa  felizdía  felizmiercoles  noticias    sostenibilidad  colombia  success  business  sostenibilidadambiental  energy  medioambiente  forglobalgoals  rse  ods|308
80|rt  yulderj  miércoles  de diciembre de    boletín de noticias por rarv  👇 https   t co    quédateencasa  felizdía  felizmie|308
81|boletín de sostenibilidad   muchas noticias de responsabilidad social empresarial  👇  https   t co    noticias    sostenibilidad  rse  colombia  success  business  energy  medioambiente  forglobalgoals  rse  ods   felizmiercoles  cicloincluyente  |308
82| johanvillat  victorsntino  cnnee estos son otros gráficos de exceso de mortalidad en colombia  la fuente es esta  https   t co mgtqlcwqrc   deja de negar lo obvio y  por favor  dejar de creerte conspiraciones absurdas  esto lo puedes demostrar con datos  tus conspiraciones no  https   t co |308
83|espectacular vista de los llanos orientales de colombia  ya apreciamos la deforestación  si seguimos así el planeta el planeta quedará huérfano sin árboles tenemos que pensar en reconstruir  https   t co   neve      lamasdraga  felizmiercoles  paro https   t co |308
84|rt  radiosupercali    la gratuidad de la vacuna será una ley en  colombia  el proyecto de ley contempla que toda la población colomb|308
85|📺 envivo   gobernador de bolívar pidió a alcaldías municipales decretar toque de queda y ley seca para prevenir propagación de   en navidad    🎙️ astrid chávez con la información    youtubelive ⭕️ https   t co mqqdhwrasr   canales  y  hd de claro   colombia https   t co |308
86|excelente noticia reino unido líder tendiente innovación desarrollo inicie aplicación vacunas contra  esperemos colombia tenga plan vacunación bien estructurado en inmediato término aún vemos pocos ilusos pidiendo cerrar economías que nivel desconexión y ánimo notoriedad|308
87| trimestre    porallá en colombia  tal vez los candidatos presidenciales   basen sus campañas en vacunar contra     felizmiércoles amistades https   t co  https   t co |308
88|lo que viene en  colombia sobre    covidsecondwave anuncia  minsaludcol  supersalud  ricardocipago  fsfb salud  fcardioinfantil  https   t co |308
